投信公司,基金數,基金規模(億),股票型規模(億),債券型規模(億)
大華銀投信,57,216.00,N/A,141.70
中國信託投信,57,"2,791.42",381.93,"2,314.39"
元大投信,127,"7,446.41","1,211.29","2,368.63"
日盛投信,61,921.75,121.78,785.86
台中銀投信,6,40.57,22.01,18.56
台新投信,128,"1,361.87",92.94,"1,197.91"
永豐投信,48,388.74,180.67,146.14
兆豐投信,50,935.00,108.81,819.45
合作金庫投信,113,592.59,27.80,557.08
安本標準投信,27,44.49,2.69,24.46
安聯投信,109,"2,040.74",769.95,319.93
宏利投信,172,257.09,40.15,197.68
貝萊德投信,13,19.67,6.58,4.31
保德信投信,81,876.08,464.23,380.50
施羅德投信,81,555.57,3.28,513.97
柏瑞投信,330,"1,553.13",465.44,851.37
國泰投信,145,"4,877.19","2,066.31","1,946.05"
第一金投信,116,"1,085.83",231.98,838.29
統一投信,49,"1,021.63",551.26,459.62
野村投信,207,"1,201.35",541.82,581.44
凱基投信,133,"1,915.69",849.64,"1,024.32"
富邦投信,109,"3,127.01",659.48,"1,921.47"
富達投信,44,79.80,13.67,52.61
富蘭克林華美投信,115,953.52,281.79,631.41
復華投信,105,"3,563.98","1,099.58","1,932.64"
景順投信,99,"1,012.09",58.40,901.30
華南永昌投信,19,489.92,22.96,445.91
街口投信,22,145.27,6.82,25.74
匯豐中華投信,56,172.84,124.82,28.00
新光投信,62,962.32,545.73,401.76
瑞銀投信,65,167.99,2.87,136.56
群益投信,237,"4,083.51",549.31,"3,277.98"
路博邁投信,97,302.33,96.40,118.58
德銀遠東投信,11,97.72,12.81,84.91
摩根投信,60,922.58,618.60,71.79
鋒裕匯理投信,101,295.05,1.75,223.18
聯邦投信,44,420.92,6.06,395.12
聯博投信,85,"1,091.30",49.60,458.20
瀚亞投信,154,"1,013.91",288.64,483.96
